age,gender,no_of_siblings,mother_occupation,mother_monthly_income,father_occupation,father_monthly_income,average_grade_g12,average_grade_first_year,grades_understanding_self,grades_purposive_communication,grades_art_appreciation,grades_sts,grades_environmental_science,grades_intermediate_programming,grades_discrete_mathematics,grades_contemporary_world_with_peace_education,grades_mathematics_in_the_modern_world,grades_introduction_computing,grades_fundamentals_of_programming,study_hours,study_strategies,regular_study_schedule,attendance_rate,class_participation,time_management_rating,study_deadlines_frequency,motivation_level,engagement_level,stress_frequency,coping_effectiveness,graduate_on_time
18,F,1,Housewife,0,Construction Worker,15000,95,91.3,96.5,88.0,96.5,92.0,91.0,90.0,88.0,84.3,92.8,92.3,92.5,11-15 hours,Often,No,More than 90%,Moderately,Very Good,Always,Moderately motivated,Moderately engaged,Often,Slightly effective,1
19,M,0,Housewife,0,Mechanic,18000,92,90.1,94.0,90.0,94.0,89.0,93.0,87.0,89.0,83.6,91.0,90.1,90.6,5-10 hours,Rarely,Yes,71-90%,Extremely actively,Excellent,Often,Very motivated,Very engaged,Always,Not effective,1
20,M,1,Yaya,10000,Electrician,12000,90,90.1,93.5,91.0,93.5,90.0,92.0,88.0,90.0,85.9,92.0,86.4,89.2,Less than 5 hours,Sometimes,No,More than 90%,Very actively,Poor,Rarely,Extremely motivated,Extremely engaged,Sometimes,Very effective,1
18,M,2,Sales Assistant,15000,Security Guard,15000,93,89.4,90.5,89.0,90.5,91.0,90.0,89.0,88.0,86.9,92.0,87.4,89.7,Less than 5 hours,Always,No,More than 90%,Not at all,Fair,Sometimes,Slightly motivated,Not engaged,Sometimes,Extremely effective,1
20,M,1,Cashier,13000,Jeepney Driver,13000,94,91.1,97.0,88.5,97.0,88.7,92.3,84.5,80.5,89.5,94.6,94.7,94.6,5-10 hours,Sometimes,Yes,More than 90%,Slightly,Good,Always,Not motivated,Slightly engaged,Often,Moderately effective,1
21,M,0,Housewife,0,Tricycle Driver,10000,96,90.2,95.0,93.6,95.0,85.6,88.1,84.0,83.1,86.3,94.1,93.9,94.0,More than 20 hours,Often,No,71-90%,Moderately,Very Good,Often,Moderately motivated,Moderately engaged,Rarely,Very effective,1
19,M,1,Factory Worker,12000,Househusband,0,97,88.7,95.0,85.1,95.0,93.8,96.2,80.1,78.2,84.2,91.6,87.3,89.5,5-10 hours,Rarely,No,More than 90%,Slightly,Excellent,Sometimes,Very motivated,Very engaged,Always,Moderately effective,1
18,M,1,Government Official,20000,PUV Driver,14000,89,89.4,96.5,91.5,96.5,88.2,90.4,78.8,81.7,91.3,93.2,85.9,89.5,11-15 hours,Always,Yes,More than 90%,Very actively,Poor,Always,Slightly motivated,Slightly engaged,Often,Extremely effective,1
20,F,2,Waitress,9000,Factory Driver,12000,96.5,92.2,95.5,94.1,95.5,94.9,93.7,82.2,84.8,91.7,95.5,92.2,93.9,Less than 5 hours,Often,No,More than 90%,Extremely actively,Good,Often,Extremely motivated,Extremely engaged,Sometimes,Not effective,1
19,M,0,Housewife,0,Factory Worker,11000,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-15 hours,Rarely,Yes,More than 90%,Moderately,Very Good,Often,Very motivated,Moderately engaged,Always,Slightly effective,0
