age,gender=M,no_of_siblings,mother_occupation=Housewife,mother_occupation=Yaya,'mother_occupation=Sales Assistant',mother_occupation=Cashier,'mother_occupation=Factory Worker','mother_occupation=Government Official',mother_occupation=Waitress,'mother_occupation=Security Guard','mother_occupation=Laundry Personnel','mother_occupation=Delivery Rider',mother_occupation=Tailor,mother_occupation=HR,'mother_occupation=Street Vendor',mother_occupation=Teacher,'mother_occupation=Sales Clerk','mother_occupation=Software Engineer',mother_occupation=Housekeeper,'mother_occupation=Software Developer','mother_occupation=Marketing Manager',mother_occupation=Clerk,'mother_occupation=Data Entry Clerk','mother_occupation=Administrative Assistant',mother_occupation=None,mother_occupation=Nurse,mother_occupation=Engineer,'mother_occupation=Sales Manager',mother_occupation=housewife,mother_occupation=teacher,mother_occupation=nurse,'mother_occupation=office clerk',mother_occupation=vendor,mother_monthly_income,'father_occupation=Construction Worker',father_occupation=Mechanic,father_occupation=Electrician,'father_occupation=Security Guard','father_occupation=Jeepney Driver','father_occupation=Tricycle Driver',father_occupation=Househusband,'father_occupation=PUV Driver','father_occupation=Factory Driver','father_occupation=Factory Worker','father_occupation=Sales Associate','father_occupation=Customer Service Representative',father_occupation=Plumber,'father_occupation=Warehouse Staff','father_occupation=Call Center Agent','father_occupation=Maintenance Worker','father_occupation=Delivery Rider',father_occupation=Janitor,'father_occupation=Office Staff',father_occupation=Waiter,'father_occupation=Retail Salesperson','father_occupation=Graphic Designer','father_occupation=Government Official','father_occupation=Street Vendor',father_occupation=Engineer,father_occupation=None,father_occupation=Doctor,father_occupation=Accountant,father_occupation=Clerk,father_occupation=Pharmacist,'father_occupation=Sales Assistant',father_occupation=Teacher,father_occupation=janitor,father_occupation=driver,father_occupation=engineer,'father_occupation=construction worker','father_occupation=security guard',father_monthly_income,average_grade_g12,average_grade_first_year,grades_understanding_self,grades_purposive_communication,grades_art_appreciation,grades_sts,grades_environmental_science,grades_intermediate_programming,grades_discrete_mathematics,grades_contemporary_world_with_peace_education,grades_mathematics_in_the_modern_world,grades_introduction_computing,grades_fundamentals_of_programming,'study_hours=5-10 hours','study_hours=Less than 5 hours','study_hours=16-20 hours','study_hours=11-15 hours','study_hours=More than 20 hours',study_strategies=Always,study_strategies=Never,study_strategies=Often,study_strategies=Sometimes,study_strategies=Rarely,regular_study_schedule,'attendance_rate=50-70\%','attendance_rate=71-90\%','attendance_rate=More than 90\%','attendance_rate=Less than 50\%',class_participation=Moderately,'class_participation=Not at all','class_participation=Very actively',class_participation=Slightly,'class_participation=Extremely actively',time_management_rating=Fair,time_management_rating=Good,time_management_rating=Poor,time_management_rating=Excellent,study_deadlines_frequency=Often,study_deadlines_frequency=Always,study_deadlines_frequency=Sometimes,study_deadlines_frequency=Rarely,'motivation_level=Moderately motivated','motivation_level=Extremely motivated','motivation_level=Very motivated','motivation_level=Not motivated','engagement_level=Very engaged','engagement_level=Extremely engaged','engagement_level=Moderately engaged','engagement_level=Slightly engaged',stress_frequency=Never,stress_frequency=Often,stress_frequency=Sometimes,stress_frequency=Rarely,'coping_effectiveness=Very effective','coping_effectiveness=Extremely effective','coping_effectiveness=Moderately effective','coping_effectiveness=Not effective',graduate_on_time
18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,76,87.5,87,77,88,77,88,93,93,84.3,96,90,89,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,94,81.3,81,80,81,79,82,76,85,83.6,76,89,82,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,82,82.2,77,82,95,94,60,89,85,85.9,75,85,76,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
18,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,90,78.6,78,82,82,76,78,76,77,86.9,75,76,78,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
20,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,93,83.1,88,81,84,78,83,82,78,89.5,76,77,98,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,77,80.4,77,79,95,84,83,77,60,86.3,82,77,84,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
19,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,84.4,90,81,77,89,77,90,91,84.2,94,78,77,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,81,86.8,80,88,72,95,84,85,96,91.3,91,93,79,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
20,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,76,80.7,76,71,81,84,72,76,98,91.7,82,79,77,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,89,76.7,79,76,79,77,95,77,88,0,93,95,85,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
18,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,97,81.4,84,90,71,80,71,94,77,91.3,85,76,76,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,86,87,78,89,93,80,78,85,98,89.7,75,95,96,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
20,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,90,78.6,77,71,81,79,80,76,78,88.9,76,79,79,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,95,90.5,89,94,95,96,90,92,80,89.6,92,88,90,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,78,84.7,86,83,72,96,79,80,77,91.2,94,86,88,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
