age,gender,no_of_siblings,mother_occupation,mother_monthly_income,father_occupation,father_monthly_income,average_grade_g12,average_grade_first_year,grades_understanding_self,grades_purposive_communication,grades_art_appreciation,grades_sts,grades_environmental_science,grades_intermediate_programming,grades_discrete_mathematics,grades_contemporary_world_with_peace_education,grades_mathematics_in_the_modern_world,grades_introduction_computing,grades_fundamentals_of_programming,study_hours,study_strategies,regular_study_schedule,attendance_rate,class_participation,time_management_rating,study_deadlines_frequency,motivation_level,engagement_level,stress_frequency,coping_effectiveness,graduate_on_time
18,F,1,Housewife,0,Construction Worker,15000,76,87.5,87.0,77.0,88.0,77.0,88.0,93.0,93.0,84.3,96.0,90.0,89.0,5-10 hours,Always,0,50-70%,Moderately,Fair,Often,Moderately motivated,Very engaged,Never,Very effective,1
19,M,0,Housewife,0,Mechanic,18000,94,81.3,81.0,80.0,81.0,79.0,82.0,76.0,85.0,83.6,76.0,89.0,82.0,5-10 hours,Never,1,50-70%,Not at all,Good,Always,Extremely motivated,Extremely engaged,Often,Very effective,1
20,M,1,Yaya,10000,Electrician,12000,82,82.2,77.0,82.0,95.0,94.0,60.0,89.0,85.0,85.9,75.0,85.0,76.0,5-10 hours,Never,0,71-90%,Not at all,Good,Sometimes,Very motivated,Moderately engaged,Never,Very effective,1
18,M,2,Sales Assistant,15000,Security Guard,15000,90,78.6,78.0,82.0,82.0,76.0,78.0,76.0,77.0,86.9,75.0,76.0,78.0,5-10 hours,Often,0,71-90%,Not at all,Good,Sometimes,Extremely motivated,Very engaged,Often,Very effective,1
20,M,1,Cashier,13000,Jeepney Driver,13000,93,83.1,88.0,81.0,84.0,78.0,83.0,82.0,78.0,89.5,76.0,77.0,98.0,Less than 5 hours,Sometimes,1,71-90%,Very actively,Good,Sometimes,Very motivated,Extremely engaged,Never,Very effective,1
21,M,0,Housewife,0,Tricycle Driver,10000,77,80.4,77.0,79.0,95.0,84.0,83.0,77.0,60.0,86.3,82.0,77.0,84.0,5-10 hours,Often,0,71-90%,Not at all,Poor,Always,Extremely motivated,Very engaged,Never,Extremely effective,1
19,M,1,Factory Worker,12000,Househusband,0,88,84.4,90.0,81.0,77.0,89.0,77.0,90.0,91.0,84.2,94.0,78.0,77.0,16-20 hours,Often,0,71-90%,Not at all,Good,Sometimes,Moderately motivated,Very engaged,Never,Moderately effective,1
18,M,1,Government Official,20000,PUV Driver,14000,81,86.8,80.0,88.0,72.0,95.0,84.0,85.0,96.0,91.3,91.0,93.0,79.0,16-20 hours,Rarely,1,50-70%,Not at all,Fair,Always,Not motivated,Moderately engaged,Sometimes,Not effective,1
20,F,2,Waitress,9000,Factory Driver,12000,76,80.7,76.0,71.0,81.0,84.0,72.0,76.0,98.0,91.7,82.0,79.0,77.0,5-10 hours,Sometimes,0,More than 90%,Slightly,Fair,Rarely,Very motivated,Very engaged,Often,Not effective,1
19,M,0,Housewife,0,Factory Worker,11000,89,76.7,79.0,76.0,79.0,77.0,95.0,77.0,88.0,0.0,93.0,95.0,85.0,5-10 hours,Rarely,1,Less than 50%,Not at all,Good,Often,Extremely motivated,Very engaged,Rarely,Very effective,1
18,F,3,Security Guard,16000,Sales Associate,16000,97,81.4,84.0,90.0,71.0,80.0,71.0,94.0,77.0,91.3,85.0,76.0,76.0,11-15 hours,Never,0,50-70%,Slightly,Excellent,Often,Not motivated,Moderately engaged,Never,Very effective,1
22,F,1,Laundry Personnel,8000,Customer Service Representative,22000,86,87.0,78.0,89.0,93.0,80.0,78.0,85.0,98.0,89.7,75.0,95.0,96.0,11-15 hours,Often,0,Less than 50%,Very actively,Fair,Always,Very motivated,Very engaged,Never,Moderately effective,1
20,M,4,Delivery Rider,14000,Plumber,16000,90,78.6,77.0,71.0,81.0,79.0,80.0,76.0,78.0,88.9,76.0,79.0,79.0,5-10 hours,Rarely,1,71-90%,Moderately,Fair,Always,Very motivated,Moderately engaged,Often,Extremely effective,1
19,F,0,Tailor,10500,Warehouse Staff,12000,95,90.5,89.0,94.0,95.0,96.0,90.0,92.0,80.0,89.6,92.0,88.0,90.0,5-10 hours,Always,0,Less than 50%,Slightly,Good,Always,Extremely motivated,Extremely engaged,Sometimes,Very effective,1
18,M,1,Housewife,0,Call Center Agent,20000,78,84.7,86.0,83.0,72.0,96.0,79.0,80.0,77.0,91.2,94.0,86.0,88.0,5-10 hours,Often,0,71-90%,Moderately,Poor,Often,Very motivated,Very engaged,Never,Extremely effective,1
21,M,2,HR,22000,Maintenance Worker,13000,84,81.6,93.0,81.0,76.0,81.0,71.0,93.0,82.0,92.8,76.0,75.0,77.0,11-15 hours,Never,0,Less than 50%,Not at all,Poor,Often,Moderately motivated,Moderately engaged,Never,Not effective,1
20,F,1,Street Vendor,15000,Delivery Rider,14000,81,81.1,84.0,72.0,83.0,74.0,89.0,72.0,77.0,95.2,84.0,82.0,80.0,16-20 hours,Sometimes,1,More than 90%,Very actively,Good,Always,Very motivated,Moderately engaged,Sometimes,Moderately effective,1
19,M,5,Housewife,0,Janitor,9000,94,81.7,79.0,85.0,81.0,77.0,85.0,82.0,93.0,82.8,80.0,79.0,75.0,11-15 hours,Always,1,More than 90%,Not at all,Poor,Always,Very motivated,Slightly engaged,Never,Not effective,1
18,F,0,Teacher,17500,Office Staff,15000,82,86.3,88.0,95.0,77.0,91.0,76.0,91.0,98.0,87.3,76.0,93.0,77.0,11-15 hours,Often,0,50-70%,Moderately,Good,Often,Not motivated,Very engaged,Rarely,Extremely effective,1
20,M,1,Sales Clerk,11000,Waiter,11000,88,81.0,79.0,81.0,83.0,82.0,82.0,78.0,85.0,80.2,90.0,76.0,75.0,5-10 hours,Often,0,Less than 50%,Slightly,Good,Often,Not motivated,Moderately engaged,Often,Very effective,1
21,M,4,Housewife,0,Retail Salesperson,14000,78,83.7,96.0,84.0,89.0,80.0,76.0,77.0,78.0,90.7,89.0,85.0,76.0,5-10 hours,Always,1,71-90%,Very actively,Poor,Always,Extremely motivated,Moderately engaged,Often,Very effective,1
19,M,2,Housewife,0,Graphic Designer,20000,95,85.2,77.0,78.0,94.0,83.0,96.0,77.0,85.0,89.6,78.0,84.0,96.0,Less than 5 hours,Often,0,71-90%,Slightly,Poor,Often,Moderately motivated,Moderately engaged,Sometimes,Not effective,1
18,F,3,Housewife,0,Government Official,18000,89,82.1,77.0,95.0,77.0,63.0,91.0,76.0,81.0,89.6,76.0,82.0,96.0,11-15 hours,Never,1,50-70%,Moderately,Fair,Always,Very motivated,Moderately engaged,Often,Not effective,1
20,F,1,Cashier,14000,Street Vendor,10000,77,83.2,74.0,79.0,84.0,84.0,95.0,92.0,75.0,88.4,78.0,77.0,89.0,Less than 5 hours,Often,0,Less than 50%,Moderately,Good,Sometimes,Not motivated,Slightly engaged,Rarely,Extremely effective,1
19,M,0,Housewife,0,Construction Worker,12000,90,82.7,77.0,87.0,81.0,78.0,85.0,99.0,82.0,92.1,76.0,77.0,76.0,5-10 hours,Often,1,Less than 50%,Not at all,Good,Always,Very motivated,Extremely engaged,Often,Very effective,1
22,M,1,Factory Worker,14000,Mechanic,20000,76,86.6,81.0,95.0,91.0,82.0,77.0,99.0,77.0,89.5,87.0,76.0,98.0,Less than 5 hours,Sometimes,0,Less than 50%,Slightly,Good,Always,Very motivated,Moderately engaged,Rarely,Extremely effective,1
18,M,2,Government Official,20000,Electrician,15000,88,81.7,71.0,82.0,78.0,78.0,78.0,81.0,85.0,86.5,83.0,87.0,89.0,Less than 5 hours,Sometimes,0,Less than 50%,Not at all,Good,Sometimes,Very motivated,Slightly engaged,Often,Not effective,1
20,M,4,Teacher,20000,Security Guard,13000,93,81.4,74.0,76.0,80.0,76.0,74.0,99.0,77.0,92.2,76.0,95.0,76.0,Less than 5 hours,Sometimes,1,Less than 50%,Not at all,Fair,Often,Extremely motivated,Very engaged,Rarely,Moderately effective,1
21,F,0,Housewife,0,Jeepney Driver,9000,82,84.9,89.0,91.0,72.0,84.0,86.0,99.0,77.0,86.8,70.0,88.0,91.0,16-20 hours,Always,0,More than 90%,Extremely actively,Good,Always,Very motivated,Moderately engaged,Often,Very effective,1
19,F,1,Yaya,9500,Tricycle Driver,8000,86,81.0,78.0,90.0,82.0,80.0,77.0,76.0,85.0,91.0,75.0,82.0,75.0,5-10 hours,Never,1,71-90%,Not at all,Poor,Always,Extremely motivated,Moderately engaged,Often,Very effective,1
18,M,2,Housewife,0,Househusband,0,94,83.7,87.0,82.0,81.0,80.0,84.0,83.0,77.0,87.2,87.0,97.0,75.0,5-10 hours,Often,1,More than 90%,Moderately,Excellent,Often,Very motivated,Very engaged,Rarely,Very effective,1
20,F,1,Sales Assistant,15000,PUV Driver,10000,97,86.8,89.0,89.0,85.0,83.0,89.0,99.0,77.0,83.3,98.0,86.0,76.0,5-10 hours,Sometimes,0,71-90%,Slightly,Fair,Always,Extremely motivated,Moderately engaged,Often,Very effective,1
19,M,5,Waitress,12000,Factory Driver,15000,90,82.5,81.0,88.0,90.0,80.0,88.0,77.0,78.0,87.9,78.0,84.0,76.0,Less than 5 hours,Always,0,More than 90%,Slightly,Excellent,Often,Moderately motivated,Very engaged,Never,Moderately effective,1
21,F,0,Housewife,0,Factory Worker,12000,77,79.7,82.0,74.0,87.0,81.0,71.0,72.0,78.0,79.5,75.0,90.0,87.0,16-20 hours,Often,0,50-70%,Not at all,Good,Often,Very motivated,Very engaged,Often,Very effective,1
18,F,1,Security Guard,14500,Sales Associate,14000,81,86.7,90.0,87.0,80.0,90.0,90.0,97.0,82.0,81.2,91.0,90.0,76.0,Less than 5 hours,Never,1,Less than 50%,Not at all,Fair,Always,Very motivated,Very engaged,Sometimes,Very effective,1
20,M,2,Laundry Personnel,8000,Customer Service Representative,18000,95,84.9,70.0,83.0,78.0,92.0,92.0,89.0,90.0,92.6,96.0,75.0,76.0,5-10 hours,Rarely,1,50-70%,Moderately,Good,Often,Very motivated,Slightly engaged,Often,Very effective,1
19,M,4,Housewife,0,Plumber,13000,84,82.8,79.0,82.0,88.0,85.0,80.0,97.0,89.0,69.1,85.0,75.0,82.0,Less than 5 hours,Sometimes,0,More than 90%,Not at all,Good,Often,Very motivated,Very engaged,Never,Very effective,1
18,F,3,Delivery Rider,10000,Warehouse Staff,10000,97,84.1,86.0,93.0,89.0,73.0,76.0,76.0,78.0,90.8,76.0,93.0,94.0,5-10 hours,Always,0,71-90%,Slightly,Good,Often,Not motivated,Slightly engaged,Sometimes,Moderately effective,1
22,F,1,HR,21000,Call Center Agent,22000,93,83.6,89.0,83.0,86.0,76.0,76.0,83.0,77.0,91.3,94.0,86.0,78.0,5-10 hours,Sometimes,1,More than 90%,Not at all,Poor,Always,Extremely motivated,Very engaged,Never,Very effective,1
20,F,0,Tailor,15000,Maintenance Worker,11000,86,80.6,96.0,76.0,76.0,71.0,90.0,76.0,87.0,87.0,76.0,77.0,75.0,More than 20 hours,Sometimes,0,71-90%,Moderately,Poor,Always,Not motivated,Slightly engaged,Rarely,Not effective,1
19,F,1,Housewife,0,Delivery Rider,13000,76,82.5,85.0,78.0,89.0,86.0,80.0,76.0,77.0,87.0,76.0,90.0,84.0,5-10 hours,Sometimes,1,More than 90%,Slightly,Excellent,Always,Very motivated,Extremely engaged,Sometimes,Extremely effective,1
21,M,2,Sales Clerk,12500,Janitor,10000,71,80.6,93.0,73.0,73.0,84.0,79.0,81.0,70.0,82.8,78.0,83.0,90.0,5-10 hours,Often,0,More than 90%,Moderately,Good,Always,Extremely motivated,Slightly engaged,Never,Very effective,1
18,F,4,Teacher,19000,Office Staff,14000,78,85.7,83.0,78.0,91.0,76.0,79.0,94.0,90.0,87.5,98.0,88.0,78.0,5-10 hours,Rarely,0,More than 90%,Not at all,Good,Often,Moderately motivated,Slightly engaged,Often,Extremely effective,1
19,F,1,Yaya,9000,Retail Salesperson,16000,89,81.3,83.0,87.0,84.0,81.0,79.0,76.0,78.0,89.0,75.0,86.0,76.0,Less than 5 hours,Often,0,Less than 50%,Very actively,Good,Always,Extremely motivated,Very engaged,Often,Moderately effective,1
18,M,3,Housewife,0,Graphic Designer,18000,94,83.1,82.0,77.0,76.0,94.0,89.0,80.0,78.0,88.0,75.0,87.0,88.0,Less than 5 hours,Sometimes,0,71-90%,Moderately,Excellent,Always,Very motivated,Moderately engaged,Often,Extremely effective,1
20,M,1,Security Guard,0,Government Official,20000,82,84.9,80.0,90.0,80.0,96.0,91.0,76.0,91.0,93.0,76.0,76.0,85.0,11-15 hours,Sometimes,1,More than 90%,Moderately,Good,Often,Very motivated,Very engaged,Often,Moderately effective,1
21,F,0,Factory Worker,10500,Street Vendor,8000,76,78.9,81.0,92.0,89.0,98.0,79.0,90.0,77.0,0.0,92.0,90.0,80.0,5-10 hours,Sometimes,0,Less than 50%,Very actively,Poor,Rarely,Moderately motivated,Slightly engaged,Never,Extremely effective,1
19,F,2,Housewife,0,Construction Worker,18000,81,83.5,95.0,76.0,74.0,79.0,84.0,94.0,77.0,93.0,75.0,84.0,87.0,5-10 hours,Often,1,Less than 50%,Moderately,Good,Always,Moderately motivated,Very engaged,Never,Very effective,1
18,M,1,Housewife,0,Mechanic,16000,88,83.4,79.0,87.0,82.0,82.0,74.0,99.0,82.0,91.5,90.0,75.0,76.0,5-10 hours,Sometimes,0,More than 90%,Slightly,Good,Often,Moderately motivated,Very engaged,Often,Extremely effective,1
20,M,5,Cashier,15000,Electrician,12000,95,84.2,76.0,95.0,87.0,76.0,77.0,90.0,95.0,88.5,88.0,79.0,75.0,5-10 hours,Often,0,More than 90%,Slightly,Excellent,Often,Extremely motivated,Extremely engaged,Often,Very effective,1
19,M,0,Waitress,11500,Security Guard,15000,90,83.8,84.0,86.0,95.0,85.0,71.0,76.0,82.0,87.5,85.0,76.0,94.0,16-20 hours,Rarely,0,More than 90%,Very actively,Fair,Always,Not motivated,Very engaged,Often,Very effective,1
21,M,1,Government Official,20000,Jeepney Driver,11000,89,81.1,77.0,73.0,79.0,79.0,86.0,76.0,82.0,88.5,75.0,88.0,89.0,5-10 hours,Always,1,More than 90%,Very actively,Good,Rarely,Not motivated,Moderately engaged,Never,Very effective,1
22,M,2,Laundry Personnel,15000,Tricycle Driver,9000,93,86.6,84.0,92.0,85.0,75.0,90.0,99.0,77.0,87.0,88.0,82.0,94.0,11-15 hours,Always,1,More than 90%,Very actively,Excellent,Always,Very motivated,Very engaged,Often,Moderately effective,1
18,F,4,Delivery Rider,18000,Househusband,0,86,85.8,84.0,94.0,80.0,88.0,77.0,76.0,77.0,89.0,91.0,92.0,96.0,16-20 hours,Always,0,71-90%,Slightly,Fair,Always,Not motivated,Moderately engaged,Sometimes,Moderately effective,1
19,F,0,Street Vendor,15000,PUV Driver,13000,78,83.1,70.0,87.0,89.0,80.0,76.0,87.0,83.0,91.0,76.0,95.0,80.0,11-15 hours,Rarely,1,Less than 50%,Moderately,Poor,Often,Extremely motivated,Very engaged,Often,Very effective,1
